"","effect_sizes","N_t","N_pers","pre_slope","step","slope","step2","bias_pre_slope","bias_step","bias_slope","bias_step2","Precision_pre_slope","Precision_step","Precision_slope","Precision_step2"
"92",0.025,12,700,1,0.061,0.096,0.045,-0.00512090815209464,-0.00750384865135344,0.0106917809465851,0.00511449802419431,0.00571812291379383,0.0287988357551263,0.0121221007192233,0.0557379715115054
"93",0.025,12,900,1,0.078,0.116,0.058,-0.0005796087835935,-0.00434799459553815,0.00728591321644633,-0.0342350927141333,0.00537045808024465,0.0263861466676202,0.0105189008342796,0.0497004074959349
"94",0.025,12,1100,1,0.056,0.163,0.047,0.00749387130653124,0.032905169636065,-0.0299486791397406,0.0784026814016866,0.00464280208748725,0.0226252757350368,0.00971255290506673,0.0452294235606914
"95",0.025,12,1300,1,0.056,0.176,0.056,-0.00183996511600056,0.0439478903714498,-0.0109498812548821,0.0934557335150437,0.00425572597794267,0.021404601589095,0.00864678783554483,0.0412219605498996
"96",0.025,12,1500,1,0.085,0.198,0.052,-0.00398995465898809,0.0301825217348695,-0.00862089318413503,0.0669149080973478,0.0039956367461654,0.0205074947412026,0.00806800498498033,0.0379514519651046
"97",0.025,14,100,1,0.051,0.05,0.036,0.0223553800078308,-0.070104687264834,-0.05368935956494,0.0323772954257138,0.0123372343063845,0.0696160618654436,0.0241779979618528,0.125556102205825
"98",0.025,14,300,1,0.057,0.09,0.053,0.0116272912454689,-0.0150219684697364,-0.016562931008792,-0.00234873456997234,0.00695606689710414,0.040517984227083,0.0140405507832789,0.0763555378367763
"99",0.025,14,500,1,0.049,0.114,0.042,0.000797712370386561,0.0192387941327725,-0.0129650652659277,0.0713203674894217,0.00539198670526658,0.0306846463413511,0.0104946229918771,0.0560341638754684
"100",0.025,14,700,1,0.065,0.152,0.046,0.00420427221379707,-0.0416709460701273,-0.0108516196972671,0.00168345583537367,0.00468911074121906,0.0258973978036503,0.00876269439149857,0.0460696041836687
"101",0.025,14,900,1,0.091,0.195,0.056,0.00703151121586236,-0.0453018334155511,-0.0129229665107974,-0.0071585136907856,0.00402170451041322,0.0237190412030195,0.00763878304817443,0.0421583352672051
"102",0.025,14,1100,1,0.058,0.231,0.042,0.00256051271202435,-0.0149974330280024,-0.000992113734403141,-0.0141126838305803,0.0033792554407531,0.019454132490315,0.00682690646732531,0.0355334749064746
"103",0.025,14,1300,1,0.087,0.286,0.066,0.00824000920376452,-0.0119084073807751,-0.0121206126430502,-0.00730433341468703,0.00347526870514518,0.0196602058820205,0.00665210326130335,0.035663846900022
"104",0.025,14,1500,1,0.086,0.328,0.057,-0.000638010431664366,-0.010198974382398,0.00243610511257622,-0.0156189978790885,0.00316452375594706,0.0176845983482074,0.00612772986535163,0.0319593647076613
"105",0.025,16,100,1,0.036,0.049,0.034,-0.0116988997787942,0.151232146663075,-0.00643662152098503,0.190668667983428,0.00978548576590567,0.0653331080342995,0.0198939366520187,0.123358194855062
"106",0.025,16,300,1,0.048,0.115,0.047,-0.000137935512208138,0.0124711269218309,-0.00660820303442933,0.0615842545240875,0.00581630668058044,0.0372906561852919,0.0120320353571195,0.071690599292968
"107",0.025,16,500,1,0.057,0.162,0.04,-0.00768479445902008,0.0496650167457112,-0.00303750246506289,0.0891544395934391,0.0044939139887229,0.0296813939600697,0.00894396581140158,0.0552603206992904
"108",0.025,16,700,1,0.062,0.21,0.061,-0.0038836406749199,0.0197202510179243,0.00855071517113603,-0.0307736325223921,0.00379717994583664,0.0250783460120287,0.0078453400693146,0.0502595513097963
"109",0.025,16,900,1,0.072,0.264,0.055,0.00504693788515554,-0.035933805660708,0.00683914092549597,-0.0942105093450052,0.00326546618458532,0.0222618069805056,0.00667640603015593,0.0414175117711745
"110",0.025,16,1100,1,0.083,0.338,0.065,0.000206704672148387,-0.0133882947613815,-4.37308797534739e-05,-0.00807893157158738,0.00298015811268105,0.0205202231751338,0.00606134419473611,0.0393611868382362
"111",0.025,16,1300,1,0.091,0.397,0.067,0.00104778120747858,0.00562863850083271,0.00178795586919133,-0.0364794051747176,0.00273862373813181,0.0184438625323231,0.00590733623963376,0.0360819642197484
"112",0.025,16,1500,1,0.1,0.466,0.062,0.00566285497060515,-0.0610591637102005,-0.0047931612531719,-0.0405893761064084,0.0026125516667536,0.0172536876322287,0.00549939380371094,0.0324690160213806
"113",0.025,18,100,1,0.058,0.069,0.047,0.009486860389632,-0.0678008669501309,0.0289217923357428,-0.329267273001245,0.00831344994881332,0.0641493422789104,0.0164370152697596,0.115156315873818
"114",0.025,18,300,1,0.051,0.127,0.037,-0.0146305060239535,0.082766010751369,0.022457417972187,0.0286552096111809,0.00464335869567386,0.0359799413613508,0.00939416260135582,0.0646321340725937
"115",0.025,18,500,1,0.065,0.227,0.05,-0.00128218948420993,-0.0226588417897693,0.00591588175753689,-0.0435949305125706,0.00380201703634941,0.0271735471732682,0.00747122215385012,0.0495665899366915
"116",0.025,18,700,1,0.06,0.331,0.047,0.00431982954486897,-0.0114399956768441,-0.00858219961961053,0.00878691931251901,0.00318278571658851,0.0226561511692857,0.00623235594417232,0.0419058698338001
"117",0.025,18,900,1,0.089,0.402,0.065,0.00281095986424699,-0.0395595547139681,-0.0024493799961395,-0.0301992845766671,0.00275683901041059,0.0210182301987732,0.00551048091488166,0.0385067297462902
"118",0.025,18,1100,1,0.084,0.507,0.062,0.00500386376571821,-0.00667749103240071,-0.0110374683393834,0.0251006545076113,0.00253026463268348,0.0185238938637129,0.00516939824488336,0.0346564666497014
"119",0.025,18,1300,1,0.105,0.539,0.082,0.00046391455437865,-0.0168826097485896,0.00504814746818731,-0.037540734861525,0.00237659699792582,0.0172298377845401,0.00450803369595344,0.0318039369976178
"120",0.025,18,1500,1,0.088,0.602,0.067,-0.00215797404199021,-0.00515415723329416,0.00713038503359599,-0.0331496356060543,0.00213389932305342,0.0157593774693014,0.00439865816954005,0.0293455847313406
"121",0.025,20,100,1,0.056,0.077,0.056,-0.0072411773701051,-0.0526052624337953,0.0342297015543508,-0.239437289301716,0.00712540326509364,0.060204896440164,0.0144256840473131,0.115427222250142
"122",0.025,20,300,1,0.068,0.187,0.056,0.00700641386435778,-0.0745245151939883,0.00256386543602068,-0.130909655752395,0.00402524227823216,0.0359934036370948,0.00848500722879259,0.0687187365024386
